x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
924.0,1600,2,,,25,[65],1,[65],[]
800.0,614.0,6,3.48,2.52,0,[],0,[],[65]
2400.0,90.0,9,8.832,0.16799999999999926,48,[39],1,[39],[]
2400.0,810.5,10,9.960666666666667,0.03933333333333344,29,"[39, 71]",2,[71],[]
2000.0,771.75,15,10.585,4.414999999999999,5,"[39, 71, 20]",3,[20],[]
2716.25,400,18,16.450666666666667,1.5493333333333332,8,"[39, 71, 20, 3, 6, 85]",6,"[3, 6, 85]",[]
2496.0,0,21,18.826999999999998,2.173000000000002,20,"[39, 71, 20, 3, 6, 85]",6,[],[]
3200.0,539.0,23,22.657333333333334,0.34266666666666623,9,"[39, 71, 20, 3, 6, 85, 37]",7,[37],[]
3822.4,800,33,24.177866666666667,8.822133333333333,11,"[39, 71, 20, 3, 6, 85, 37, 7, 50]",9,"[7, 50]",[]
4000.0,457.0,44,33.69413333333333,10.305866666666667,21,"[39, 71, 20, 3, 6, 85, 37, 7, 50, 47]",10,[47],[]
3600.0,355.0,56,44.669333333333334,11.330666666666666,52,"[39, 85, 37, 7, 50, 47, 56]",7,[56],"[71, 20, 3, 6]"
3600.0,1304.75,57.266333333333336,57.266333333333336,0.0,61,"[50, 47, 56]",3,[],"[39, 85, 37, 7]"
2000.0,404.0,59,60.60066666666667,-1.600666666666669,61,[],0,[],"[50, 47, 56]"
