x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2800,1810.0,3,,,29,[73],1,[73],[]
3983.0,2000.0,4.830666666666667,4.830666666666667,0.0,54,[],0,[],[73]
3651.5,1200.0,10,6.339333333333333,3.6606666666666667,38,"[56, 61]",2,"[56, 61]",[]
2800,1235.6666666666667,12,11.18288888888889,0.8171111111111102,28,"[56, 61, 68, 76, 87]",5,"[68, 76, 87]",[]
2929.0,1600.0,14,12.657777777777778,1.3422222222222224,10,"[56, 61, 68, 76, 87, 35]",6,[35],[]
2400,1382.0,16,14.996,1.0039999999999996,36,"[56, 61, 68, 76, 87, 35, 22, 95]",8,"[22, 95]",[]
400,1261.0,20,18.828,1.1720000000000006,13,"[56, 61, 68, 76, 87, 35, 22, 95, 69]",9,[69],[]
400,1873.0,22,20.816,1.184000000000001,31,"[56, 61, 68, 76, 87, 35, 22, 95, 69, 80]",10,[80],[]
1815.0,1200.0,25,24.784,0.21600000000000108,18,"[56, 61, 68, 76, 87, 35, 22, 95, 69, 80, 60]",11,[60],[]
1200,1281.25,31,25.928333333333335,5.071666666666665,7,"[56, 61, 68, 76, 87, 35, 22, 95, 69, 80, 60, 11, 25, 33, 42]",15,"[11, 25, 33, 42]",[]
2088.0,400.0,33.359,33.359,0.0,45,"[56, 61, 68, 87, 95, 69, 60, 11, 25, 33]",10,[],"[76, 35, 22, 80, 42]"
233.0,400.0,35.83233333333334,35.83233333333334,0.0,47,"[56, 61, 95, 60, 11, 25, 33]",7,[],"[68, 87, 69]"
3600,1349.5714285714287,41.58776190476191,41.58776190476191,0.0,46,[],0,[],"[56, 61, 95, 60, 11, 25, 33]"
