genT,arivT,TT,taxiT,diff,maxT,ratio(TT/maxT)
6.0,16.148444444444443,10.148444444444443,1.1746666666666667,8.973777777777777,9.524000000000001,1.0655653553595592
10.0,16.148444444444443,6.1484444444444435,4.645333333333333,1.5031111111111102,23.936,0.25687017231134873
12.0,16.148444444444443,4.1484444444444435,4.097333333333333,0.05111111111111022,24.292,0.1707741002982234
4.0,47.139833333333335,43.139833333333335,1.2466666666666666,41.893166666666666,7.74,5.573621877691645
13.0,47.139833333333335,34.139833333333335,1.0893333333333333,33.0505,16.268,2.098588230472912
11.0,47.139833333333335,36.139833333333335,1.176,34.96383333333333,14.527999999999999,2.4875986600587376
17.0,47.139833333333335,30.139833333333335,2.844,27.295833333333334,25.532,1.1804728706459868
33.0,47.139833333333335,14.139833333333335,2.3106666666666666,11.82916666666667,39.932,0.35409779959264087
35.0,47.139833333333335,12.139833333333335,2.6226666666666665,9.517166666666668,42.868,0.2831910360486455
38.0,47.139833333333335,9.139833333333335,4.290666666666667,4.849166666666669,50.872,0.17966333805105628
45.0,47.139833333333335,2.1398333333333355,1.108,1.0318333333333354,48.324,0.04428096460006075
24.0,50.77033333333333,26.770333333333333,1.108,25.662333333333333,27.324,0.9797369833601717
28.0,50.77033333333333,22.770333333333333,1.8253333333333333,20.945,33.476,0.6801987493527701
41.0,50.77033333333333,9.770333333333333,1.5346666666666666,8.235666666666667,45.604,0.2142429026693565
47.0,50.77033333333333,3.7703333333333333,4.524,-0.7536666666666667,60.572,0.062245481960862
26.0,54.19255555555556,28.192555555555558,2.1586666666666665,26.033888888888892,32.476,0.8681043095071918
30.0,54.19255555555556,24.192555555555558,2.8026666666666666,21.38988888888889,38.408,0.6298832419171932
31.0,54.19255555555556,23.192555555555558,3.041333333333333,20.151222222222223,40.123999999999995,0.5780220206249517
0.0,20.116666666666667,20.116666666666667,3.497333333333333,16.619333333333334,10.491999999999999,1.9173338416571357
2.0,20.116666666666667,18.116666666666667,4.941333333333334,13.175333333333334,16.824,1.0768346806149944
7.0,20.116666666666667,13.116666666666667,2.708,10.408666666666667,15.124,0.8672749713479679
17.0,20.116666666666667,3.116666666666667,4.121333333333333,-1.0046666666666662,29.364,0.10613903646188078
10.0,42.0864,32.0864,1.1693333333333333,30.917066666666663,13.508,2.3753627480011845
12.0,42.0864,30.086399999999998,2.001333333333333,28.085066666666663,18.003999999999998,1.671095312152855
25.0,42.0864,17.086399999999998,2.716,14.370399999999997,33.147999999999996,0.515457946180765
29.0,42.0864,13.086399999999998,1.728,11.358399999999998,34.184,0.3828223730400187
39.0,42.0864,3.0863999999999976,2.856,0.23039999999999772,47.568,0.06488395560040358
39.0,60.266,21.266,1.824,19.441999999999997,44.472,0.47818852311566823
46.0,60.266,14.265999999999998,1.456,12.809999999999999,50.368,0.28323538754764926
46.0,60.266,14.265999999999998,2.0573333333333332,12.208666666666666,52.172,0.2734416928620716
59.0,60.266,1.2659999999999982,3.3373333333333335,-2.0713333333333352,69.012,0.018344635715527708
0.0,29.198999999999998,29.198999999999998,1.0626666666666666,28.136333333333333,3.1879999999999997,9.159033877038896
2.0,29.198999999999998,27.198999999999998,1.0933333333333333,26.105666666666664,5.279999999999999,5.151325757575758
21.0,29.198999999999998,8.198999999999998,1.972,6.2269999999999985,26.916,0.30461435577351753
26.0,29.198999999999998,3.198999999999998,3.7706666666666666,-0.5716666666666685,37.312,0.08573649228130356
21.0,33.0,12.0,5.241333333333333,6.758666666666667,36.724000000000004,0.32676179065461275
7.0,34.814,27.814,3.2133333333333334,24.600666666666665,16.64,1.671514423076923
15.0,34.814,19.814,4.348,15.466000000000001,28.044,0.7065325916417059
18.0,34.814,16.814,4.8533333333333335,11.960666666666667,32.56,0.5164004914004914
32.0,34.814,2.814,2.512,0.30200000000000005,39.536,0.0711756373937677
9.0,40.955666666666666,31.955666666666666,0.2866666666666667,31.669,9.86,3.2409398242055443
12.0,40.955666666666666,28.955666666666666,0.256,28.699666666666666,12.768,2.267831035923141
33.0,40.955666666666666,7.955666666666666,4.414666666666666,3.5409999999999995,46.244,0.1720367326932503
38.0,40.955666666666666,2.9556666666666658,3.692,-0.7363333333333344,49.076,0.06022631564648027
47.0,54.65555555555556,7.6555555555555586,1.3413333333333333,6.3142222222222255,51.024,0.15003832619072513
48.0,54.65555555555556,6.6555555555555586,0.31733333333333336,6.3382222222222255,48.952,0.13596085053839596
53.0,54.65555555555556,1.6555555555555586,1.5293333333333334,0.12622222222222512,57.588,0.02874827317419529
